Platform,Content_Type,Likes,Shares,Comments,Impressions,Reach,Engagement_Rate,Posting_Time
Instagram,Reels,3200,850,420,25000,18000,18.2,7 PM
Instagram,Offers,2800,650,300,21000,15000,15.4,6 PM
Facebook,Festival Campaign,2400,500,210,18000,14000,12.8,3 PM
YouTube,Product Video,4100,1200,580,40000,32000,21.5,5 PM
LinkedIn,Customer Story,1500,300,180,12000,9000,10.6,9 AM
Instagram,Healthy Tips,3600,920,460,28000,21000,19.7,8 PM
Facebook,Discount Post,2600,540,250,20000,16000,13.9,2 PM
YouTube,Recipe Video,4700,1400,620,45000,35000,23.1,6 PM
LinkedIn,Business Update,1700,350,200,14000,10000,11.2,10 AM
Instagram,Reels,3900,980,510,30000,23000,20.8,8 PM
